"id","type","area","floors","rooms","bathrooms","price","condition","city","district"
1,"apartment",167,3,1,3,11941803,"not finished","Alexandria","El Montaza"
2,"shop",252,1,2,2,12066215,"semi finished","Gharbia","Tanta"
3,"duplex",100,2,3,2,14509906,"luxury finished","Beni Suef","Ehnasia"
4,"studio",295,3,1,2,14654857,"luxury finished","Sohag","Akhmeem"
5,"office",283,2,3,2,12391991,"luxury finished","Beheira","Alnoubareya"
6,"shop",256,3,3,3,4852028,"luxury finished","Dakahlia","Nabroh"
7,"office",139,1,1,1,8577728,"fully finished","Sohag","El Maragha"
8,"town house",105,2,2,3,3275970,"semi finished","Menofia","Ashmon"
9,"town house",195,1,2,1,12011114,"luxury finished","New Valley","El Kharga"
10,"duplex",102,3,1,2,9712722,"not finished","Giza","ManshiyetAl Qanater"
11,"shop",81,2,2,3,14892202,"fully finished","Cairo","Ain Shams"
12,"office",138,1,1,3,9342445,"not finished","Red Sea","Safaga"
13,"office",197,2,2,2,13367727,"luxury finished","Fayoum","Sayala"
14,"town house",261,2,3,2,12304952,"semi finished","Aswan","Al Sibaeia"
15,"villa",271,3,1,2,14083980,"fully finished","Qalyubia","Khosous"
16,"apartment",290,1,3,3,7248148,"not finished","Beheira","Rashid"
17,"duplex",188,2,2,1,6599080,"fully finished","Aswan","Al Basilia"
18,"apartment",265,1,2,1,14397552,"fully finished","Sohag","Gerga"
19,"office",174,1,3,3,9183049,"luxury finished","Beni Suef","Fashn"
20,"office",142,1,2,2,9411115,"luxury finished","Kafr El Sheikh","Riyadh"
21,"studio",284,1,3,2,5453338,"fully finished","Ismailia","Ismailia"
22,"apartment",196,3,1,1,5367971,"semi finished","Qena","Quos"
23,"villa",263,1,2,2,12896515,"semi finished","Cairo","Ataba"
24,"apartment",96,3,3,2,5981408,"fully finished","Port Said","Almanakh"
25,"villa",258,1,2,2,3702256,"fully finished","Sharkia","Qenaiat"
26,"villa",179,1,3,3,10567890,"semi finished","Giza","Mohandessin"
27,"studio",140,1,2,3,13921067,"semi finished","Menofia","Ashmon"
28,"apartment",289,3,2,3,5962663,"not finished","Ismailia","Sheikh Zayed"
29,"office",232,2,1,1,6726030,"semi finished","Sohag","Akhmeem"
30,"villa",209,3,3,3,7201184,"not finished","Gharbia","Kafr El Zayat"
31,"duplex",253,3,1,2,12014530,"luxury finished","Gharbia","Zefta"
32,"apartment",92,3,3,1,10812601,"fully finished","Sohag","Gerga"
33,"town house",221,1,3,3,1421951,"not finished","Port Said","Almanakh"
